51, 25, 32, 32, 32,
69, 25, 88, 88, 88,
117, 25, 100, 100, 100,
133, 25, 168, 168, 168,
60, 26, 172, 172, 172,
69, 26, 252, 252, 252,
105, 26, 252, 252, 252,
117, 26, 252, 252, 252,
129, 26, 240, 240, 240,
140, 26, 132, 132, 132,
57, 27, 132, 132, 132,
66, 27, 252, 252, 252,
102, 27, 140, 140, 140,
112, 27, 176, 176, 176,
123, 27, 52, 52, 52,
134, 27, 252, 252, 252,
49, 28, 228, 228, 228,
59, 28, 252, 252, 252,
69, 28, 120, 120, 120,
102, 28, 152, 152, 152,
112, 28, 128, 128, 128,
123, 28, 212, 212, 212,
132, 28, 116, 116, 116,
46, 29, 156, 156, 156,
55, 29, 132, 132, 132,
64, 29, 168, 168, 168,
97, 29, 108, 108, 108,
107, 29, 232, 232, 232,
119, 29, 240, 240, 240,
130, 29, 124, 124, 124,
140, 29, 144, 144, 144,
50, 30, 152, 152, 152,
60, 30, 132, 132, 132,
72, 30, 68, 68, 68,
104, 30, 252, 252, 252,
113, 30, 116, 116, 116,
127, 30, 220, 220, 220,
138, 30, 188, 188, 188,
48, 31, 184, 184, 184,
59, 31, 236, 236, 236,
74, 31, 128, 128, 128,
105, 31, 252, 252, 252,
118, 31, 232, 232, 232,
128, 31, 60, 60, 60,
142, 31, 136, 136, 136,
52, 32, 252, 252, 252,
61, 32, 132, 132, 132,
96, 32, 168, 168, 168,
107, 32, 200, 200, 200,
121, 32, 252, 252, 252,
135, 32, 212, 212, 212,
146, 32, 168, 168, 168,
52, 33, 120, 120, 120,
68, 33, 108, 108, 108,
100, 33, 252, 252, 252,
109, 33, 128, 128, 128,
126, 33, 140, 140, 140,
140, 33, 188, 188, 188,
196, 33, 164, 164, 164,
45, 34, 252, 252, 252,
55, 34, 252, 252, 252,
94, 34, 252, 252, 252,
104, 34, 196, 196, 196,
124, 34, 252, 252, 252,
139, 34, 212, 212, 212,
173, 34, 96, 96, 96,
182, 34, 160, 160, 160,
191, 34, 120, 120, 120,
200, 34, 116, 116, 116,
253, 34, 40, 40, 40,
44, 35, 164, 164, 164,
54, 35, 104, 104, 104,
93, 35, 252, 252, 252,
102, 35, 188, 188, 188,
126, 35, 168, 168, 168,
144, 35, 192, 192, 192,
177, 35, 248, 248, 248,
186, 35, 164, 164, 164,
195, 35, 180, 180, 180,
