44, 24, 52, 0, 16,
120, 34, 44, 0, 16,
55, 42, 44, 0, 16,
129, 45, 44, 0, 16,
127, 49, 64, 0, 8,
92, 51, 52, 4, 4,
103, 52, 56, 28, 24,
128, 52, 68, 4, 4,
116, 53, 44, 0, 16,
105, 54, 56, 28, 24,
123, 54, 64, 0, 4,
102, 55, 52, 12, 0,
111, 55, 68, 4, 4,
217, 55, 52, 0, 16,
104, 56, 84, 28, 24,
115, 56, 64, 12, 0,
125, 56, 64, 0, 4,
102, 57, 76, 8, 8,
111, 57, 80, 12, 4,
120, 57, 88, 28, 4,
61, 58, 52, 4, 4,
101, 58, 80, 4, 0,
110, 58, 80, 12, 0,
119, 58, 116, 48, 24,
40, 59, 40, 12, 16,
99, 59, 80, 0, 4,
109, 59, 88, 28, 4,
118, 59, 116, 32, 4,
92, 60, 96, 0, 0,
101, 60, 80, 12, 0,
110, 60, 144, 32, 20,
119, 60, 116, 48, 4,
93, 61, 108, 4, 0,
102, 61, 144, 48, 72,
111, 61, 144, 48, 72,
120, 61, 120, 36, 0,
90, 62, 100, 4, 0,
99, 62, 116, 48, 24,
108, 62, 144, 100, 80,
117, 62, 108, 20, 0,
126, 62, 88, 16, 0,
93, 63, 116, 32, 24,
102, 63, 144, 48, 72,
111, 63, 168, 112, 124,
120, 63, 92, 0, 0,
137, 63, 56, 0, 4,
93, 64, 88, 16, 0,
102, 64, 108, 72, 104,
111, 64, 168, 112, 124,
120, 64, 96, 16, 0,
129, 64, 64, 0, 4,
91, 65, 96, 28, 4,
100, 65, 104, 68, 56,
109, 65, 160, 108, 176,
118, 65, 56, 28, 24,
127, 65, 108, 4, 0,
88, 66, 108, 32, 0,
97, 66, 84, 28, 24,
106, 66, 244, 212, 244,
115, 66, 84, 44, 16,
124, 66, 116, 32, 4,
83, 67, 88, 4, 0,
92, 67, 76, 0, 4,
101, 67, 104, 100, 56,
110, 67, 160, 108, 176,
119, 67, 52, 12, 0,
130, 67, 92, 0, 0,
87, 68, 96, 28, 4,
98, 68, 84, 44, 16,
107, 68, 244, 248, 248,
116, 68, 116, 48, 24,
128, 68, 116, 16, 4,
85, 69, 88, 16, 0,
99, 69, 104, 68, 56,
108, 69, 244, 248, 248,
117, 69, 112, 44, 56,
128, 69, 108, 12, 0,
148, 69, 64, 0, 8,
86, 70, 96, 28, 4,
101, 70, 140, 96, 124,
110, 70, 244, 212, 244,
119, 70, 52, 4, 4,
131, 70, 104, 0, 4,
142, 70, 52, 4, 4,
88, 71, 56, 0, 4,
98, 71, 104, 68, 56,
107, 71, 244, 248, 248,
116, 71, 92, 44, 56,
128, 71, 76, 0, 4,
137, 71, 100, 4, 0,
79, 72, 96, 28, 4,
94, 72, 96, 0, 0,
103, 72, 184, 184, 180,
112, 72, 108, 72, 104,
123, 72, 76, 0, 0,
135, 72, 108, 12, 0,
77, 73, 76, 28, 4,
95, 73, 88, 8, 8,
104, 73, 184, 184, 180,
113, 73, 108, 72, 104,
126, 73, 88, 0, 4,
138, 73, 84, 0, 0,
74, 74, 92, 0, 0,
92, 74, 60, 0, 0,
102, 74, 144, 100, 80,
111, 74, 168, 112, 124,
120, 74, 76, 8, 8,
134, 74, 88, 16, 0,
143, 74, 68, 0, 0,
74, 75, 68, 4, 4,
94, 75, 72, 0, 0,
104, 75, 140, 96, 124,
113, 75, 104, 68, 56,
122, 75, 88, 0, 4,
137, 75, 112, 4, 0,
183, 75, 44, 0, 16,
91, 76, 60, 0, 0,
102, 76, 104, 100, 56,
111, 76, 104, 68, 56,
121, 76, 88, 8, 8,
135, 76, 96, 28, 4,
144, 76, 52, 12, 4,
76, 77, 104, 0, 0,
