60, 26, 68, 64, 72,
61, 28, 148, 144, 144,
66, 29, 48, 60, 56,
60, 31, 184, 192, 196,
59, 32, 200, 212, 212,
67, 32, 8, 16, 12,
64, 33, 80, 104, 104,
61, 34, 68, 76, 76,
68, 34, 0, 0, 0,
65, 35, 0, 0, 0,
72, 35, 100, 104, 108,
64, 36, 0, 4, 4,
71, 36, 48, 60, 56,
78, 36, 0, 0, 0,
66, 37, 24, 32, 32,
73, 37, 20, 40, 36,
80, 37, 0, 8, 0,
64, 38, 120, 120, 120,
71, 38, 0, 0, 0,
78, 38, 144, 180, 172,
85, 38, 0, 0, 0,
70, 39, 80, 104, 104,
77, 39, 176, 212, 208,
84, 39, 0, 24, 24,
67, 40, 144, 168, 168,
75, 40, 172, 216, 216,
82, 40, 152, 196, 192,
89, 40, 160, 172, 172,
71, 41, 80, 104, 104,
78, 41, 184, 236, 232,
85, 41, 112, 148, 144,
67, 42, 32, 52, 52,
75, 42, 160, 204, 204,
82, 42, 184, 224, 224,
89, 42, 0, 0, 0,
70, 43, 180, 220, 216,
77, 43, 152, 188, 192,
84, 43, 176, 216, 220,
91, 43, 44, 44, 44,
73, 44, 40, 64, 68,
81, 44, 204, 236, 240,
88, 44, 144, 180, 184,
68, 45, 184, 192, 196,
76, 45, 16, 16, 24,
83, 45, 208, 236, 240,
90, 45, 40, 64, 68,
69, 46, 128, 128, 132,
77, 46, 0, 0, 0,
84, 46, 204, 236, 232,
91, 46, 108, 128, 132,
69, 47, 184, 180, 180,
76, 47, 192, 232, 228,
83, 47, 204, 236, 236,
90, 47, 144, 180, 184,
98, 47, 160, 160, 160,
76, 48, 152, 196, 192,
83, 48, 208, 240, 240,
90, 48, 168, 204, 208,
97, 48, 16, 24, 24,
74, 49, 204, 248, 244,
81, 49, 192, 232, 236,
88, 49, 188, 224, 228,
95, 49, 56, 48, 48,
72, 50, 144, 160, 160,
79, 50, 180, 220, 220,
86, 50, 204, 236, 240,
93, 50, 92, 128, 132,
100, 50, 0, 0, 0,
75, 51, 204, 240, 244,
82, 51, 200, 236, 236,
90, 51, 196, 232, 232,
97, 51, 0, 0, 0,
71, 52, 224, 236, 236,
78, 52, 172, 216, 216,
85, 52, 204, 240, 236,
92, 52, 184, 224, 220,
99, 52, 20, 52, 52,
73, 53, 80, 104, 104,
81, 53, 196, 236, 232,
88, 53, 204, 236, 236,
95, 53, 112, 148, 144,
102, 53, 20, 60, 64,
76, 54, 192, 232, 228,
83, 54, 200, 240, 236,
90, 54, 208, 240, 240,
97, 54, 32, 40, 36,
104, 54, 40, 64, 68,
78, 55, 180, 220, 220,
85, 55, 200, 236, 236,
92, 55, 188, 224, 228,
99, 55, 0, 0, 0,
106, 55, 0, 8, 8,
78, 56, 200, 236, 236,
85, 56, 200, 236, 236,
92, 56, 196, 232, 232,
99, 56, 128, 144, 144,
106, 56, 20, 44, 52,
77, 57, 204, 236, 236,
84, 57, 204, 240, 240,
91, 57, 204, 236, 236,
98, 57, 32, 40, 36,
105, 57, 40, 64, 68,
76, 58, 168, 196, 192,
84, 58, 184, 224, 224,
91, 58, 196, 236, 232,
98, 58, 80, 104, 104,
105, 58, 8, 44, 40,
75, 59, 128, 128, 132,
82, 59, 168, 208, 204,
89, 59, 200, 236, 236,
96, 59, 172, 216, 220,
103, 59, 16, 16, 12,
110, 59, 28, 72, 68,
78, 60, 208, 240, 240,
85, 60, 176, 212, 208,
92, 60, 204, 240, 240,
100, 60, 68, 76, 76,
107, 60, 20, 52, 52,
114, 60, 112, 108, 108,
81, 61, 188, 232, 228,
88, 61, 204, 240, 244,
95, 61, 192, 228, 228,
103, 61, 56, 48, 48,
110, 61, 4, 48, 52,
76, 62, 224, 236, 236,
83, 62, 164, 208, 204,
90, 62, 212, 232, 240,
97, 62, 188, 216, 228,
104, 62, 60, 60, 56,
111, 62, 20, 68, 56,
77, 63, 212, 232, 240,
84, 63, 172, 216, 216,
91, 63, 204, 236, 232,
99, 63, 184, 224, 224,
106, 63, 24, 20, 24,
113, 63, 36, 84, 84,
77, 64, 128, 144, 144,
84, 64, 168, 204, 212,
91, 64, 196, 236, 232,
