45, 22, 44, 44, 36,
49, 23, 60, 52, 36,
51, 24, 52, 52, 20,
52, 25, 84, 72, 48,
50, 26, 96, 76, 48,
48, 27, 68, 68, 48,
55, 27, 52, 52, 20,
52, 28, 112, 88, 56,
48, 29, 68, 68, 48,
55, 29, 140, 120, 68,
50, 30, 112, 88, 56,
57, 30, 96, 76, 48,
52, 31, 120, 112, 60,
45, 32, 44, 44, 36,
52, 32, 112, 88, 56,
46, 33, 60, 52, 36,
53, 33, 120, 112, 60,
46, 34, 44, 44, 36,
53, 34, 120, 112, 60,
46, 35, 44, 44, 36,
53, 35, 112, 88, 56,
46, 36, 44, 44, 36,
53, 36, 120, 112, 60,
60, 36, 52, 52, 20,
53, 37, 112, 88, 56,
60, 37, 112, 88, 56,
53, 38, 112, 88, 56,
60, 38, 140, 120, 68,
51, 39, 96, 88, 52,
58, 39, 140, 120, 68,
49, 40, 68, 68, 48,
56, 40, 140, 120, 68,
47, 41, 60, 52, 36,
54, 41, 120, 112, 60,
61, 41, 52, 52, 20,
52, 42, 96, 76, 48,
59, 42, 152, 136, 84,
51, 43, 96, 76, 48,
58, 43, 136, 108, 64,
50, 44, 68, 68, 48,
57, 44, 120, 112, 60,
50, 45, 68, 68, 48,
57, 45, 120, 112, 60,
51, 46, 84, 72, 48,
58, 46, 152, 136, 84,
53, 47, 84, 72, 48,
60, 47, 60, 52, 36,
56, 48, 112, 88, 56,
51, 49, 84, 72, 48,
58, 49, 152, 136, 84,
53, 50, 96, 88, 52,
49, 51, 44, 44, 36,
56, 51, 112, 88, 56,
51, 52, 84, 72, 48,
58, 52, 52, 52, 20,
54, 53, 96, 88, 52,
52, 54, 96, 76, 48,
50, 55, 60, 52, 36,
49, 56, 44, 44, 36,
47, 57, 44, 44, 36,
54, 57, 52, 52, 20,
47, 59, 44, 44, 36,
48, 60, 44, 44, 36,
139, 80, 64, 72, 92,
146, 80, 36, 40, 72,
141, 81, 76, 80, 116,
148, 81, 68, 84, 116,
142, 82, 44, 48, 84,
149, 82, 128, 140, 176,
139, 83, 32, 44, 56,
146, 83, 44, 52, 96,
153, 83, 124, 140, 192,
138, 84, 32, 44, 56,
145, 84, 56, 64, 96,
152, 84, 80, 100, 156,
159, 84, 24, 32, 72,
143, 85, 68, 84, 116,
150, 85, 96, 120, 156,
157, 85, 112, 128, 184,
138, 86, 32, 44, 56,
145, 86, 100, 116, 144,
152, 86, 128, 140, 176,
159, 86, 124, 132, 200,
138, 87, 48, 56, 64,
145, 87, 100, 116, 144,
152, 87, 152, 168, 208,
159, 87, 112, 120, 172,
136, 88, 40, 44, 52,
143, 88, 80, 88, 116,
150, 88, 96, 104, 144,
157, 88, 80, 100, 156,
164, 88, 196, 212, 248,
140, 89, 52, 60, 84,
147, 89, 112, 116, 160,
154, 89, 124, 132, 172,
161, 89, 96, 100, 156,
168, 89, 40, 48, 76,
142, 90, 68, 84, 100,
149, 90, 88, 100, 128,
156, 90, 112, 128, 160,
163, 90, 124, 132, 184,
136, 91, 44, 52, 52,
143, 91, 80, 88, 116,
150, 91, 88, 100, 128,
157, 91, 152, 168, 208,
164, 91, 112, 128, 184,
171, 91, 28, 40, 68,
143, 92, 80, 84, 100,
150, 92, 96, 104, 144,
157, 92, 148, 164, 204,
164, 92, 164, 188, 236,
171, 92, 136, 148, 204,
141, 93, 48, 56, 72,
148, 93, 88, 100, 128,
155, 93, 180, 188, 204,
162, 93, 128, 140, 176,
169, 93, 204, 216, 248,
139, 94, 48, 56, 64,
146, 94, 88, 100, 128,
153, 94, 44, 60, 96,
160, 94, 204, 216, 248,
167, 94, 124, 140, 192,
174, 94, 80, 96, 128,
142, 95, 64, 72, 80,
149, 95, 44, 56, 84,
156, 95, 196, 212, 224,
163, 95, 228, 240, 248,
170, 95, 112, 128, 184,
