70, 52, 20, 16, 32,
114, 55, 16, 16, 36,
92, 56, 20, 16, 32,
130, 56, 16, 16, 32,
203, 56, 24, 24, 36,
82, 57, 16, 16, 32,
102, 57, 16, 16, 36,
132, 57, 20, 32, 44,
160, 57, 20, 16, 32,
187, 57, 20, 32, 44,
31, 58, 24, 24, 36,
63, 58, 176, 192, 204,
83, 58, 36, 40, 60,
95, 58, 20, 32, 44,
112, 58, 20, 20, 36,
124, 58, 16, 20, 36,
137, 58, 24, 24, 36,
149, 58, 12, 24, 56,
163, 58, 36, 60, 88,
176, 58, 16, 28, 40,
208, 58, 12, 16, 36,
54, 59, 20, 20, 44,
68, 59, 36, 40, 84,
81, 59, 36, 40, 60,
93, 59, 12, 16, 32,
105, 59, 24, 44, 84,
118, 59, 12, 24, 48,
130, 59, 12, 32, 52,
142, 59, 72, 92, 148,
154, 59, 24, 60, 84,
169, 59, 52, 76, 108,
190, 59, 36, 60, 88,
210, 59, 24, 60, 84,
35, 60, 20, 28, 60,
52, 60, 164, 152, 184,
64, 60, 108, 120, 172,
77, 60, 52, 76, 108,
91, 60, 176, 220, 248,
104, 60, 24, 44, 84,
117, 60, 52, 76, 108,
130, 60, 36, 60, 88,
143, 60, 8, 56, 92,
155, 60, 144, 204, 236,
171, 60, 52, 76, 108,
189, 60, 24, 44, 84,
207, 60, 96, 152, 172,
32, 61, 36, 60, 88,
44, 61, 52, 76, 140,
59, 61, 12, 20, 48,
73, 61, 20, 28, 60,
86, 61, 8, 24, 72,
99, 61, 8, 12, 72,
111, 61, 12, 20, 40,
124, 61, 12, 32, 52,
136, 61, 12, 24, 56,
148, 61, 80, 128, 172,
162, 61, 96, 152, 172,
174, 61, 24, 60, 112,
186, 61, 36, 40, 60,
200, 61, 12, 20, 40,
213, 61, 4, 24, 60,
38, 62, 4, 20, 52,
53, 62, 108, 124, 140,
65, 62, 24, 60, 112,
77, 62, 4, 24, 36,
89, 62, 108, 120, 172,
101, 62, 36, 52, 136,
114, 62, 76, 128, 208,
126, 62, 12, 28, 64,
138, 62, 76, 112, 200,
150, 62, 108, 180, 220,
167, 62, 80, 128, 172,
